   Compiling mechanic-physics v0.1.0 (/Users/jens/repos/mechanic/crates/mechanic-physics)
    Finished `test` profile [optimized + debuginfo] target(s) in 1.43s
     Running unittests src/lib.rs (target/debug/deps/mechanic_physics-ced37d44e4e3378f)

running 1 test
event refinement dt=1.023859975590801e-2 elapsed=6.4280669107586565e-3 hit=TerrainSweepHit { collider: 33, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.026880904761934468, separation: 1.1102230246251565e-16 }
event refinement dt=9.96337693097388e-3 elapsed=6.703289735692786e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6327413919446734e-6, separation: 6.661338147750939e-16 }
event refinement dt=9.963330773225169e-3 elapsed=6.703335893441497e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.634250949815361e-6, separation: 7.216449660063518e-16 }
event refinement dt=9.96328460065007e-3 elapsed=6.703382066016597e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6357487256845474e-6, separation: 4.996003610813204e-16 }
event refinement dt=9.963238413366179e-3 elapsed=6.703428253300487e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6372363075855335e-6, separation: 3.3306690738754696e-16 }
event refinement dt=9.963192211475267e-3 elapsed=6.7034744551913985e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.638713125191694e-6, separation: 3.3306690738754696e-16 }
event refinement dt=9.963145995084789e-3 elapsed=6.703520671581879e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.640178529341987e-6, separation: 6.661338147750939e-16 }
event refinement dt=9.963099764308658e-3 elapsed=6.70356690235801e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.64163266274106e-6, separation: 4.440892098500626e-16 }
event refinement dt=9.963053519259368e-3 elapsed=6.703613147407298e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.643075382373813e-6, separation: 3.885780586188048e-16 }
event refinement dt=9.96300726005084e-3 elapsed=6.703659406615827e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.644506473790453e-6, separation: 8.326672684688674e-16 }
event refinement dt=9.962960986799121e-3 elapsed=6.703705679867544e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6459267225828264e-6, separation: 3.885780586188048e-16 }
event refinement dt=9.962914699612437e-3 elapsed=6.703751967054228e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.64733498569013e-6, separation: 5.551115123125783e-16 }
event refinement dt=9.962868398610394e-3 elapsed=6.703798268056271e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.648732120137723e-6, separation: 4.996003610813204e-16 }
event refinement dt=9.962822083904062e-3 elapsed=6.703844582762604e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.650117125717238e-6, separation: 1.0547118733938987e-15 }
event refinement dt=9.96277575561447e-3 elapsed=6.703890911052197e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.651491145188979e-6, separation: 6.106226635438361e-16 }
event refinement dt=9.96272941385126e-3 elapsed=6.703937252815406e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.652853464071757e-6, separation: 4.996003610813204e-16 }
event refinement dt=9.962683058731197e-3 elapsed=6.70398360793547e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.654204296506178e-6, separation: 6.106226635438361e-16 }
event refinement dt=9.9626366903689e-3 elapsed=6.704029976297767e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.655543999503246e-6, separation: 5.551115123125783e-16 }
event refinement dt=9.962590308875436e-3 elapsed=6.70407635779123e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6568711442337275e-6, separation: 8.326672684688674e-16 }
event refinement dt=9.962543914376107e-3 elapsed=6.7041227522905604e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.658187802114365e-6, separation: 7.771561172376096e-16 }
event refinement dt=9.962497506975566e-3 elapsed=6.7041691596911e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.659492330011468e-6, separation: 4.440892098500626e-16 }
event refinement dt=9.962451086794845e-3 elapsed=6.704215579871822e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.660784870628096e-6, separation: 8.326672684688674e-16 }
event refinement dt=9.962404653953545e-3 elapsed=6.704262012713121e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.662066566757539e-6, separation: 3.3306690738754696e-16 }
event refinement dt=9.962358208559882e-3 elapsed=6.704308458106783e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.663336203853907e-6, separation: 6.106226635438361e-16 }
event refinement dt=9.962311750734174e-3 elapsed=6.704354915932493e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.664594138928275e-6, separation: 6.661338147750939e-16 }
event refinement dt=9.962265280593172e-3 elapsed=6.704401386073496e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.665840800433536e-6, separation: 1.1102230246251565e-16 }
event refinement dt=9.96221879824936e-3 elapsed=6.7044478684173065e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.667075616727511e-6, separation: 5.551115123125783e-16 }
event refinement dt=9.962172303820918e-3 elapsed=6.704494362845748e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.668298373339107e-6, separation: 6.661338147750939e-16 }
event refinement dt=9.962125797428157e-3 elapsed=6.7045408692385094e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6695099273382305e-6, separation: 7.771561172376096e-16 }
event refinement dt=9.96207927918285e-3 elapsed=6.704587387483818e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6707092070209565e-6, separation: 6.661338147750939e-16 }
event refinement dt=9.962032749207438e-3 elapsed=6.704633917459228e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.671897426645026e-6, separation: 7.216449660063518e-16 }
event refinement dt=9.961986207612274e-3 elapsed=6.704680459054394e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.6730739431236315e-6, separation: 4.440892098500626e-16 }
event refinement dt=9.961939654514104e-3 elapsed=6.7047270121525625e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.674238113358688e-6, separation: 5.551115123125783e-16 }
event refinement dt=9.961893090036087e-3 elapsed=6.704773576630579e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.675390794431209e-6, separation: 9.43689570931383e-16 }
event refinement dt=9.961846514292839e-3 elapsed=6.704820152373827e-3 hit=TerrainSweepHit { collider: 42, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.676531914743788e-6, separation: 6.661338147750939e-16 }
